maxrad,minrad,meanrad,maxdur,mindur,meandur,maxwind,minwind,meanwind,elevation,energy
25.81,6.57,16.2,46292.76,19656.03,32348.78,25.17,17.07,20.94,3.0,solar
27.56,9.71,19.33,48016.62,27497.76,37974.63,11.8,7.48,9.33,242.0,solar
23.93,9.35,17.07,44625.54,24683.72,33458.01,23.12,16.65,19.92,4.0,solar
21.96,2.05,11.7,45855.83,8227.7,26112.71,34.76,20.25,25.88,186.0,solar
23.08,3.51,13.71,43405.83,9771.45,26862.09,21.69,11.1,16.13,157.0,solar
25.5,2.92,14.97,49927.27,7969.77,31507.7,30.65,18.32,23.87,25.0,solar
27.1,6.91,17.36,48214.82,20244.26,35675.78,23.98,10.37,15.9,656.0,solar
21.39,1.89,11.51,46155.97,7614.29,26349.96,35.68,16.97,25.95,103.0,solar
25.09,6.55,16.01,47539.47,18714.05,31876.93,24.88,16.68,20.38,29.0,solar
23.45,5.31,14.61,42384.35,14038.12,29176.42,28.43,17.63,23.17,458.0,solar
28.54,11.02,20.22,45561.6,30114.67,38054.61,16.05,9.94,13.47,67.0,solar
25.95,15.59,20.14,41854.39,22746.47,33977.25,28.34,13.64,18.19,603.0,solar
20.02,1.53,10.72,41122.12,6179.09,23904.93,35.37,16.36,24.25,144.0,solar
24.02,6.05,14.71,42612.73,16060.4,29212.73,24.13,17.04,19.78,72.0,solar
26.53,7.22,17.34,48093.68,24529.67,36665.42,17.87,10.4,15.56,62.0,solar
26.06,6.93,16.19,46996.41,20318.02,32299.65,33.18,23.04,27.19,4.0,solar
27.68,13.13,21.47,45545.51,32762.57,39390.17,31.65,12.25,17.92,215.0,solar
29.28,6.86,18.72,49043.17,18679.16,35926.17,18.53,12.13,15.46,7.0,solar
27.96,7.35,17.58,45366.98,21053.53,34054.55,23.52,15.44,18.43,341.0,solar
22.6,7.08,17.08,40173.45,0.0,29893.81,8.8,5.46,7.35,165.0,solar
28.22,6.73,17.84,46800.0,19836.89,34544.94,22.03,13.14,16.6,246.0,solar
29.2,8.56,19.56,48859.25,23403.38,37300.02,14.05,7.53,10.7,60.0,solar
24.61,8.43,17.19,43202.11,22911.81,33540.26,20.78,12.17,15.68,234.0,solar
23.42,9.5,15.74,45662.81,21682.81,30911.72,28.45,13.07,21.89,6.0,solar
23.3,11.47,17.75,40855.59,23969.75,34677.92,17.75,9.58,14.19,212.0,solar
23.76,5.76,14.8,43203.23,14878.47,29947.93,23.94,14.84,20.17,11.0,solar
24.99,6.19,15.62,47912.98,16498.04,31206.88,23.14,13.6,19.14,37.0,solar
22.83,9.06,18.07,38577.61,5779.31,33609.32,25.92,14.55,18.59,300.0,solar
30.89,9.93,20.89,48485.42,25769.37,37952.46,24.71,11.33,18.46,801.0,solar
20.4,1.79,10.75,45241.58,8849.81,24707.49,33.18,18.24,25.06,66.0,solar
21.73,2.39,12.3,43808.17,10803.79,28059.4,25.93,17.16,21.06,271.0,solar
24.15,4.46,14.63,47070.88,16307.5,31692.79,18.99,9.31,13.62,200.0,solar
25.57,14.23,20.18,41383.51,18494.88,34209.36,33.55,16.77,21.2,574.0,solar
26.08,6.65,16.73,48049.31,23853.77,35765.35,16.57,9.94,13.15,22.0,solar
23.05,10.78,18.46,38897.03,10956.93,34117.8,29.31,16.56,20.52,245.0,solar
23.2,11.1,18.58,39355.23,11355.0,34217.7,29.37,16.11,20.48,232.0,solar
23.81,6.16,17.96,41399.75,156.1,32308.03,28.44,12.83,16.71,417.0,solar
