maxrad,minrad,meanrad,maxdur,mindur,meandur,maxwind,minwind,meanwind,elevation,energy
21.93,13.08,17.68,40955.3,11934.27,31414.26,17.11,10.73,14.04,161.0,solar
21.45,2.19,11.75,45254.75,8344.99,26461.58,33.64,19.57,25.2,30.0,solar
27.09,7.55,17.51,44680.45,23926.87,34534.84,25.84,17.41,20.45,78.0,solar
21.13,1.93,11.35,47449.72,7702.29,25842.12,33.38,15.43,24.66,89.0,solar
22.96,8.65,18.07,39393.94,5645.07,33608.83,27.69,15.63,19.8,341.0,solar
25.76,8.78,15.82,45971.0,21691.44,30233.1,20.82,7.44,16.74,4.0,solar
19.9,1.92,11.24,37684.63,7270.7,25336.56,32.13,14.83,23.29,41.0,solar
22.89,7.11,14.98,44702.62,16475.08,28453.7,24.77,12.94,19.3,1.0,solar
24.04,8.13,14.92,45239.68,24286.09,29845.37,16.1,7.9,11.82,341.0,solar
21.2,2.06,11.62,47045.72,8182.37,25988.18,33.17,18.46,24.45,44.0,solar
23.12,10.83,18.4,39966.18,9352.66,32561.99,28.63,11.85,16.9,365.0,solar
24.79,8.1,18.64,41879.43,4253.57,33550.09,25.83,15.46,19.97,13.0,solar
21.38,1.82,11.06,45636.96,8684.84,25538.76,35.88,18.92,26.57,96.0,solar
22.44,12.94,18.51,39279.09,12028.12,32374.24,33.6,14.64,20.35,581.0,solar
26.69,12.12,20.06,43719.07,29082.66,37091.19,35.14,19.84,23.8,6.0,solar
27.64,8.54,18.53,46800.0,25235.17,36329.96,20.67,12.46,15.09,1.0,solar
29.63,12.07,21.42,44888.87,30374.44,38212.88,29.9,21.34,24.89,1240.0,solar
21.14,1.99,11.47,46426.18,8225.6,26426.66,34.85,17.48,25.6,134.0,solar
27.83,8.96,18.85,46800.0,26277.03,36635.79,24.49,13.11,17.4,65.0,solar
21.24,1.9,11.46,40860.01,7780.81,25455.74,34.47,17.2,25.34,113.0,solar
16.81,1.47,9.71,37588.29,7461.23,23200.6,31.2,18.13,23.95,28.0,solar
25.14,12.75,19.35,42420.19,14817.86,34697.68,31.34,17.64,23.11,94.0,solar
25.7,17.41,20.48,41585.96,29851.92,35823.88,24.45,4.83,12.74,3.0,solar
26.15,4.97,15.67,49073.14,18717.4,33740.19,22.78,14.13,18.4,56.0,solar
23.11,2.27,12.07,49646.26,9292.43,27391.7,36.03,21.23,26.96,113.0,solar
25.01,9.58,16.52,45211.23,25690.52,32357.88,15.53,4.82,9.2,386.0,solar
20.11,1.15,10.24,42252.31,7074.59,25436.57,32.91,19.28,25.78,76.0,solar
28.08,7.08,17.84,46800.0,20766.07,34302.9,21.13,11.47,15.22,313.0,solar
29.67,10.99,20.8,46847.4,27795.94,37756.82,20.11,16.16,18.33,565.0,solar
22.13,2.18,12.05,44613.53,10592.57,27820.38,35.66,14.32,25.48,23.0,solar
22.98,12.87,18.58,38666.39,17385.82,34631.35,28.54,15.06,20.1,225.0,solar
22.98,12.87,18.58,38666.39,17385.82,34631.35,28.54,15.06,20.1,218.0,solar
23.91,6.92,17.84,41310.34,1449.63,32516.4,23.29,13.61,17.86,454.0,solar
21.45,2.06,11.66,48306.01,8232.27,26282.66,34.07,19.17,25.37,153.0,solar
23.12,2.32,12.13,48293.04,10156.31,27204.81,35.75,20.05,26.38,41.0,solar
24.65,9.94,18.62,42930.69,7308.75,33656.85,21.68,11.74,15.63,273.0,solar
21.04,1.73,10.89,45120.24,7762.04,24601.52,34.9,18.5,26.01,76.0,solar
