index,latitude,longitude,primary_fuel,energy
8943,30.4969,111.4421,Coal,others
1093,51.329,3.1819,Oil,others
18066,58.7638,7.5096,Hydro,others
5541,34.7325,112.7554,Coal,others
7739,29.21,102.84,Hydro,others
28386,38.0794,-84.5194,Gas,others
27364,61.4752,-149.1501,Hydro,others
17448,19.6465,-97.4375,Geothermal,others
24468,51.382,-0.5722,Biomass,others
23239,56.6302,-4.1868,Hydro,others
9308,35.3256,116.9261,Coal,others
33591,35.0329,-117.701,Gas,others
26301,41.7486,-111.8117,Gas,others
27262,44.7806,-93.3094,Waste,others
3563,11.07,0.7,Hydro,others
13416,47.9536,12.7499,Hydro,others
8618,36.9077,117.7741,Coal,others
24335,55.9174,-4.2737,Waste,others
3667,46.5428,-67.6687,Hydro,others
25725,41.1153,-87.2328,Gas,others
34844,10.6014,107.04,Gas,others
25671,39.0919,-94.3261,Gas,others
4376,45.5982,-61.3601,Biomass,others
6560,42.0319,126.5795,Coal,others
697,-31.9577,115.7924,Waste,others
34135,41.5691,-91.264,Oil,others
29743,35.7575,-81.0894,Hydro,others
20044,36.8108,127.7947,Hydro,others
11236,44.662,2.583,Hydro,others
7231,45.5427,85.0243,Coal,others
19434,51.7017,94.5444,Coal,others
21857,-0.8815,29.6707,Hydro,others
4474,50.2123,-66.6583,Hydro,others
4496,50.1344,-96.8518,Gas,others
25218,42.9278,-76.5921,Gas,others
26493,47.2611,-93.6528,Coal,others
30532,39.6189,-77.7121,Storage,others
21490,12.6971,101.1191,Gas,others
14918,23.5496,74.4072,Coal,others
32772,38.6803,-94.4824,Gas,others
22219,53.4201,-1.3985,Biomass,others
21826,37.1405,27.8719,Coal,others
12935,50.0856,8.6279,Gas,others
4715,59.6274,-109.0178,Hydro,others
20158,41.798,1.9543,Hydro,others
103,-33.9674,-59.2045,Nuclear,others
20324,39.2379,-3.4233,Oil,others
19372,56.8454,53.1783,Gas,others
17188,-15.7833,35.0,Gas,others
10603,44.696,2.585,Hydro,others
34200,44.7639,-69.7183,Hydro,others
27302,38.2725,-95.2403,Cogeneration,others
1887,-23.6461,-46.6386,Gas,others
18138,59.6852,6.5196,Hydro,others
34209,32.7246,-97.5371,Waste,others
27301,32.6995,-115.2824,Hydro,others
31633,40.3398,-74.6239,Oil,others
1104,27.036,89.5953,Hydro,others
28587,34.0864,-84.2677,Oil,others
11123,46.667,4.351,Coal,others
5089,41.0791,80.1685,Coal,others
1382,-27.7808,-54.3734,Hydro,others
15793,-6.9039,107.6186,Hydro,others
15310,16.2478,74.5003,Biomass,others
6470,39.89,116.27,Gas,others
30717,35.2834,-101.7464,Gas,others
10132,61.7695,23.0658,Gas,others
15829,27.1467,56.1153,Gas,others
19095,40.8094,-8.0508,Hydro,others
2165,-20.8342,-41.1225,Hydro,others
13732,53.5658,8.1462,Oil,others
30783,39.4616,-105.677,Hydro,others
14744,17.6219,80.6936,Coal,others
23231,53.6133,-0.186,Waste,others
6972,25.9164,115.1944,Hydro,others
25183,37.1938,-99.7631,Oil,others
19534,54.0336,37.5361,Gas,others
2179,-20.5265,-51.2345,Biomass,others
24614,53.7685,-2.3717,Waste,others
33462,42.1926,-92.4636,Oil,others
32988,43.0803,-75.601,Gas,others
15215,23.622,86.661,Coal,others
22155,56.6439,-3.8218,Hydro,others
5031,-40.5875,-73.0989,Oil,others
4532,55.2509,-114.5181,Biomass,others
2507,-5.3418,-42.8069,Oil,others
604,-28.0871,117.8327,Gas,others
17344,21.0762,-101.7327,Biomass,others
34634,9.3699,-64.4965,Gas,others
29535,42.1089,-104.8825,Coal,others
29267,36.2338,-90.0521,Gas,others
23983,55.9566,-2.7707,Biomass,others
34391,28.0274,-82.0164,Oil,others
33002,43.2978,-73.8853,Hydro,others
23295,57.4632,-4.5121,Hydro,others
2566,-20.7667,-44.6833,Hydro,others
8984,26.0036,117.3798,Coal,others
3073,-20.9092,-54.2402,Gas,others
33068,39.2527,-106.3748,Hydro,others
26747,41.6492,-72.9153,Waste,others
33307,35.595,-95.0511,Hydro,others
23905,50.8533,0.5204,Waste,others
31363,33.8361,-117.1831,Hydro,others
16727,34.5625,132.5167,Hydro,others
23612,52.8353,0.0816,Biomass,others
15952,30.1859,47.837,Gas,others
17054,52.367,76.9338,Coal,others
6058,25.5761,108.7564,Hydro,others
3028,-22.7223,-47.7745,Biomass,others
6404,40.7085,111.7399,Coal,others
20148,43.2347,-2.7497,Gas,others
28964,32.426,-86.8709,Gas,others
15630,13.1156,77.5838,Oil,others
31539,29.9649,-93.8913,Gas,others
7485,29.93,109.2128,Hydro,others
11554,45.5313,6.3673,Hydro,others
23007,57.2016,-4.7213,Hydro,others
25499,44.251,-72.6027,Oil,others
8453,24.566,101.158,Hydro,others
31969,35.1931,-94.6458,Coal,others
21699,40.9368,36.6491,Hydro,others
827,47.407,13.2205,Hydro,others
3034,-0.65,-52.5167,Hydro,others
8498,31.82,105.87,Hydro,others
20889,41.9791,2.5274,Hydro,others
8856,34.1748,113.3581,Coal,others
4017,44.373,-77.7787,Hydro,others
15110,14.3512,80.1431,Coal,others
2551,0.9949,-61.4626,Oil,others
12470,41.4698,45.061,Gas,others
10102,-17.6806,177.4304,Oil,others
12463,41.4728,45.0635,Gas,others
27951,40.7303,-82.7939,Oil,others
34456,43.6335,-95.6092,Oil,others
25257,34.1548,-117.9093,Hydro,others
16929,43.0367,140.5125,Nuclear,others
11247,43.5635,3.9025,Biomass,others
3784,46.2384,-63.1181,Oil,others
6252,36.6421,114.4997,Coal,others
22037,51.8206,-0.7382,Biomass,others
2623,-26.4458,-50.9878,Hydro,others
6904,46.8168,130.2887,Coal,others
9087,26.4594,99.3572,Hydro,others
18251,9.1771,-78.8844,Hydro,others
8166,38.006,114.6934,Coal,others
19655,51.8327,107.6151,Coal,others
21269,46.7741,9.2046,Hydro,others
28430,36.2701,-119.6481,Gas,others
7500,28.517,103.363,Hydro,others
26638,40.4644,-79.3657,Hydro,others
7702,32.21,110.15,Hydro,others
13869,39.1463,22.0629,Hydro,others
