maxrad,minrad,meanrad,maxdur,mindur,meandur,maxwind,minwind,meanwind,elevation,energy
29.44,10.81,20.57,46903.92,29447.79,38468.95,11.42,7.59,10.0,-198.0,solar
23.09,14.43,18.18,39276.43,21468.97,30150.81,18.52,9.07,12.14,34.0,solar
23.09,14.43,18.18,39276.43,21468.97,30150.81,18.52,9.07,12.14,40.0,solar
22.72,14.13,17.93,39211.37,20870.88,29829.95,13.44,7.68,10.61,28.0,solar
28.75,18.76,24.11,42825.33,36476.83,39306.65,9.87,6.23,8.04,1250.0,solar
29.09,18.42,24.05,42299.76,36038.31,39036.67,7.19,5.96,6.55,1043.0,solar
29.09,18.42,24.05,42299.76,36038.31,39036.67,7.19,5.96,6.55,1038.0,solar
30.21,19.36,24.9,43157.92,36483.35,39705.08,11.39,8.06,9.83,1520.0,solar
30.21,18.95,24.74,43241.93,36241.1,39418.45,10.0,5.55,7.43,1368.0,solar
27.53,16.58,22.4,39851.66,31226.91,36293.4,9.46,6.13,7.95,681.0,solar
25.09,16.61,19.83,42210.13,27634.42,35324.93,13.06,6.2,10.33,46.0,solar
24.61,14.51,20.26,42440.01,32294.77,36932.54,38.34,12.21,23.14,49.0,solar
25.38,16.47,20.25,42971.1,28547.65,36540.58,29.05,9.62,19.85,51.0,solar
25.08,16.42,19.74,42693.77,28172.44,35960.18,13.67,6.08,10.09,34.0,solar
25.84,17.39,20.6,42351.7,28935.95,36918.63,31.53,11.93,23.02,51.0,solar
25.99,18.32,22.6,40515.23,29324.14,37420.51,31.36,16.85,26.04,242.0,solar
25.99,18.32,22.6,40515.23,29324.14,37420.51,31.36,16.85,26.04,242.0,solar
25.07,15.2,20.33,42157.02,35176.69,37889.48,17.24,12.11,14.5,6.0,solar
20.17,14.55,17.64,37199.06,22682.35,30131.87,16.48,9.84,12.4,193.0,solar
26.33,18.34,22.51,41739.39,36349.71,38644.17,25.26,14.82,19.8,1424.0,solar
30.03,17.57,23.28,43875.12,35944.26,39189.31,28.13,13.75,18.71,1220.0,solar
28.69,17.35,22.68,43455.43,35713.94,39020.29,25.61,13.21,17.15,1303.0,solar
28.73,16.28,22.81,43859.37,34606.91,39106.86,25.36,18.14,21.59,1267.0,solar
27.67,18.15,22.63,41839.41,36109.5,38344.43,26.97,15.31,20.17,1440.0,solar
23.35,10.91,16.76,40532.33,28030.98,34119.8,11.41,4.59,6.96,538.0,solar
24.07,12.04,16.58,41389.23,20928.02,32651.29,6.2,3.3,4.62,1457.0,solar
22.21,1.73,12.22,45015.95,7921.31,28214.3,46.72,23.22,34.21,2.0,solar
21.72,1.89,12.18,45585.25,8370.27,27744.33,35.7,20.05,27.09,-2.0,solar
19.9,1.92,11.24,37684.63,7270.7,25336.56,32.13,14.83,23.29,41.0,solar
25.48,16.74,20.38,43098.13,29647.65,36781.45,26.77,7.7,18.6,4.0,solar
20.54,1.64,11.45,41466.12,7306.79,26345.66,34.34,17.39,26.03,-1.0,solar
19.75,1.98,11.2,37903.58,7624.48,25277.23,32.21,14.94,23.19,61.0,solar
20.1,1.89,11.28,39815.99,7297.53,25838.22,34.91,18.25,25.58,3.0,solar
19.98,1.94,11.18,40395.71,7334.19,25745.87,33.94,18.06,24.98,2.0,solar
20.72,1.64,11.52,42374.98,7232.97,26398.92,34.81,17.8,26.33,0.0,solar
21.66,2.05,11.76,42333.78,8683.99,26814.9,36.8,18.9,26.81,6.0,solar
24.44,17.55,21.54,41685.75,33153.21,38640.58,34.3,23.56,28.28,0.0,solar
20.42,1.64,11.48,40511.65,6888.49,25880.37,33.45,17.97,25.57,0.0,solar
21.2,1.97,11.43,40905.87,8031.25,25901.53,37.92,19.46,27.47,-2.0,solar
25.15,17.04,21.19,41600.74,27267.38,36869.0,30.56,10.62,18.92,17.0,solar
23.26,12.76,20.46,38069.28,14801.71,34378.78,29.95,14.61,20.63,326.0,solar
21.1,1.94,11.83,42245.85,8477.46,26557.36,36.53,19.29,26.83,-5.0,solar
27.08,7.57,17.7,45232.34,24303.65,35342.28,27.53,17.4,21.16,19.0,solar
25.48,16.74,20.38,43098.13,29647.65,36781.45,26.77,7.7,18.6,6.0,solar
24.3,16.08,19.52,42239.1,28054.56,35812.19,17.09,3.98,11.47,60.0,solar
25.7,17.41,20.48,41585.96,29851.92,35823.88,24.45,4.83,12.74,3.0,solar
22.49,15.44,19.2,39332.33,26850.04,32995.65,15.12,6.31,10.45,27.0,solar
24.59,15.19,19.43,42873.48,28775.19,35844.12,22.98,6.83,15.47,67.0,solar
24.59,15.19,19.43,42873.48,28775.19,35844.12,22.98,6.83,15.47,42.0,solar
25.48,16.3,20.04,42127.23,27628.02,35601.49,19.75,6.04,13.53,128.0,solar
24.84,15.69,20.24,42524.23,30091.93,36139.8,17.92,5.86,11.46,38.0,solar
23.24,16.14,19.41,40870.53,29831.06,35156.11,15.86,5.0,11.3,6.0,solar
25.47,16.83,20.32,41509.85,29670.7,36028.01,32.99,13.09,22.97,11.0,solar
25.37,16.37,20.01,42363.33,27024.72,35810.54,30.12,7.2,18.41,277.0,solar
24.32,16.14,19.6,40398.43,27363.42,34049.16,6.63,4.53,5.28,211.0,solar
24.97,16.26,19.8,42631.71,28427.92,36608.72,28.15,6.74,18.14,159.0,solar
24.25,15.78,19.49,42291.37,27996.0,36074.29,15.99,6.87,11.6,2.0,solar
25.58,16.41,20.06,42340.26,27722.34,36067.29,19.73,5.86,14.13,51.0,solar
23.6,1.95,12.57,48130.79,5983.97,27197.64,30.62,16.98,23.21,149.0,solar
23.88,2.44,12.46,46170.43,8552.83,27141.6,28.92,16.07,21.37,213.0,solar
22.83,1.62,12.33,45839.46,5998.39,27131.21,29.42,13.46,22.5,97.0,solar
22.72,1.61,11.98,46091.38,6311.92,27202.28,30.58,13.53,23.13,0.0,solar
21.14,1.92,11.92,42494.95,8522.58,27306.98,28.22,13.15,20.67,48.0,solar
23.52,1.53,12.52,47962.94,4434.2,27370.6,27.0,14.01,21.62,122.0,solar
22.32,2.04,12.11,44561.8,7000.16,26766.54,31.13,16.66,22.91,227.0,solar
23.29,2.78,12.15,44832.3,9864.3,25833.46,28.2,13.75,20.5,193.0,solar
25.7,17.41,20.48,41585.96,29851.92,35823.88,24.45,4.83,12.74,21.0,solar
25.7,17.41,20.48,41585.96,29851.92,35823.88,24.45,4.83,12.74,21.0,solar
25.7,17.41,20.48,41585.96,29851.92,35823.88,24.45,4.83,12.74,4.0,solar
24.3,16.09,19.53,42228.14,27533.6,35524.14,15.27,4.65,10.43,56.0,solar
24.81,16.3,19.62,42074.03,27446.08,35382.14,14.0,5.84,9.81,21.0,solar
25.72,17.21,20.23,41888.88,27701.46,35889.69,38.37,11.28,22.8,39.0,solar
24.74,15.96,20.24,42537.04,30396.61,36346.63,20.11,6.2,12.13,24.0,solar
25.21,16.55,19.92,42119.17,27152.9,35220.9,18.81,7.09,11.66,34.0,solar
24.91,17.17,20.44,40427.23,30130.55,35586.57,13.85,6.51,9.96,100.0,solar
24.32,16.65,19.89,41498.51,28743.92,36112.67,19.39,6.58,12.59,15.0,solar
23.73,12.38,17.73,41094.78,24029.8,32336.42,22.19,7.5,14.92,543.0,solar
23.56,16.2,19.01,41621.8,25053.46,34076.63,18.66,8.31,12.35,32.0,solar
