index,latitude,longitude,primary_fuel
34392,33.9131,-116.5631,Wind
6307,39.7964,114.7547,Wind
413,-37.3898,143.114,Wind
34399,41.3919,-94.8764,Wind
29208,44.0119,-96.1125,Wind
28412,43.0061,-115.4633,Wind
6852,41.7631,109.5986,Wind
6853,41.735,109.5533,Wind
34487,42.7708,-114.9886,Wind
6308,41.2036,114.9776,Wind
34394,44.2081,-96.1989,Wind
6698,32.52,121.14,Wind
6696,45.8369,123.0028,Wind
6855,41.36,106.49,Wind
6854,41.1833,110.2111,Wind
28576,45.7956,-86.5339,Wind
6731,30.4156,108.7553,Wind
27883,36.8389,-97.181,Wind
34608,-34.6512,-56.5844,Wind
34595,-34.6403,-55.5541,Wind
29206,28.1093,-97.7505,Wind
29174,20.8142,-156.551,Wind
7068,44.6766,122.3624,Wind
27932,41.6436,-89.1731,Wind
34590,-34.5154,-54.9075,Wind
7070,45.2147,123.0671,Wind
6673,26.9164,104.4964,Wind
34591,-34.4397,-54.8887,Wind
6670,41.1078,110.8744,Wind
280,-28.6684,-66.7524,Wind
7071,45.8272,123.1358,Wind
28645,39.9529,-89.3102,Wind
28644,43.9129,-96.1932,Wind
6678,44.2731,93.525,Wind
6683,41.662,121.4833,Wind
28629,40.3042,-78.6908,Wind
6858,41.5722,113.7655,Wind
6677,44.2809,93.5486,Wind
29172,43.6247,-95.4314,Wind
6859,50.246,120.212,Wind
34389,44.1125,-91.9247,Wind
523,-27.8995,114.1946,Wind
279,-28.6684,-66.7524,Wind
29165,36.5439,-101.3936,Wind
29166,36.549,-101.4959,Wind
28384,44.2253,-96.235,Wind
6861,42.62,112.85,Wind
6668,42.3321,117.0282,Wind
28392,33.9278,-101.7422,Wind
7064,44.6767,122.3524,Wind
34589,-34.7458,-56.5731,Wind
7065,44.6766,122.3637,Wind
28663,40.7931,-83.7287,Wind
6669,41.1325,110.8583,Wind
6860,41.1242,112.5125,Wind
7066,44.6786,122.3652,Wind
34387,43.315,-93.77,Wind
7067,44.6768,122.3648,Wind
34592,-34.2931,-56.5275,Wind
29207,33.9219,-116.5622,Wind
28628,43.0803,-95.6561,Wind
6691,26.0867,100.1025,Wind
6856,40.1403,107.5745,Wind
28595,26.4656,-98.4111,Wind
6693,26.1711,100.1133,Wind
27911,43.9917,-91.8778,Wind
34597,-34.3783,-56.5944,Wind
34598,-32.5826,-56.3946,Wind
6311,41.0456,114.6739,Wind
283,-43.0907,-65.2298,Wind
6695,21.1621,110.59,Wind
27905,35.1553,-118.3694,Wind
34599,-32.6004,-56.4196,Wind
27897,43.9785,-92.8511,Wind
6310,41.0866,114.6477,Wind
27895,43.5861,-95.7761,Wind
27893,41.7744,-70.6158,Wind
6309,41.0667,114.25,Wind
27906,33.5915,-102.0569,Wind
6692,26.1572,100.1017,Wind
28608,34.4667,-105.9625,Wind
6312,41.966,114.773,Wind
34593,-33.8948,-56.9202,Wind
28626,40.3196,-78.6806,Wind
281,-45.7458,-67.6953,Wind
28623,38.1381,-121.8053,Wind
34304,40.3494,-85.8431,Wind
29178,21.681,-157.975,Wind
27922,33.915,-116.7103,Wind
28622,40.4792,-88.7989,Wind
6857,41.9,113.925,Wind
28616,42.7794,-78.4269,Wind
282,-45.8507,-67.9081,Wind
34594,-34.2265,-57.3366,Wind
28611,41.6751,-106.0111,Wind
410,-34.8509,135.5852,Wind
34596,-34.2805,-57.3341,Wind
28610,35.3503,-101.54,Wind
28609,42.88,-115.0367,Wind
29175,20.7947,-156.536,Wind
284,-43.3522,-65.1734,Wind
6490,46.7469,129.6939,Wind
6733,29.864,116.054,Wind
6831,41.1611,112.7433,Wind
6299,42.267,117.917,Wind
6298,40.9797,114.3,Wind
28490,45.8131,-120.3475,Wind
6832,41.865,113.34,Wind
28487,43.8556,-83.1669,Wind
28486,43.83,-83.2064,Wind
6833,41.2681,113.0069,Wind
27723,41.6575,-106.1892,Wind
6834,43.755,119.1022,Wind
27722,41.6283,-106.2013,Wind
27719,41.3389,-94.57,Wind
6296,41.0768,114.1729,Wind
6841,42.6458,118.08,Wind
27713,33.9153,-99.7403,Wind
6300,42.2167,117.85,Wind
27724,41.6665,-106.1833,Wind
27725,41.6744,-106.1805,Wind
6830,41.3633,106.4625,Wind
6302,42.2553,117.9314,Wind
27781,34.691,-118.221,Wind
27780,38.2322,-122.0928,Wind
27776,42.8581,-114.9494,Wind
27775,40.0853,-78.8633,Wind
27774,43.6161,-88.4969,Wind
7156,47.23,132.27,Wind
27711,43.3897,-95.2997,Wind
28508,41.0161,-84.5875,Wind
6817,45.4986,119.6994,Wind
27759,38.8743,-99.4052,Wind
402,-38.3676,141.543,Wind
400,-38.3577,141.385,Wind
28500,40.8981,-121.8036,Wind
27740,32.039,-101.22,Wind
399,-37.7603,140.4033,Wind
6301,42.5,117.677,Wind
27782,36.464,-121.382,Wind
27710,32.9319,-101.1436,Wind
34447,30.9514,-102.4141,Wind
6293,41.1267,113.9347,Wind
344,-37.2385,143.0794,Wind
338,-35.0641,117.7977,Wind
27682,36.0264,-101.9,Wind
6292,41.0802,114.0944,Wind
6291,41.2865,114.2816,Wind
7212,42.4284,123.9156,Wind
6290,41.0695,114.0923,Wind
6839,42.71,117.87,Wind
6287,39.3608,119.1842,Wind
6286,41.51,114.28,Wind
28463,40.7183,-83.2287,Wind
6838,42.5339,118.7239,Wind
6837,42.37,117.56,Wind
34897,11.0525,108.41,Wind
6294,40.4957,114.56,Wind
6840,42.16,118.56,Wind
6295,41.08,114.27,Wind
27684,37.3665,-98.2611,Wind
7193,40.4,122.25,Wind
27702,44.2297,-96.225,Wind
34448,30.9514,-102.4141,Wind
6835,42.7,117.92,Wind
369,-32.4146,149.0998,Wind
368,-36.5763,149.1267,Wind
367,-40.7207,144.6869,Wind
34445,43.9858,-96.0786,Wind
6836,42.6111,118.1589,Wind
27689,40.0011,-95.9289,Wind
34846,10.5507,108.93,Wind
27688,31.6845,-98.6034,Wind
27686,37.3692,-98.4603,Wind
28453,43.1122,-74.8789,Wind
34847,13.9077,109.26,Wind
27685,37.3764,-98.4583,Wind
364,-33.6219,149.1982,Wind
27783,34.6231,-117.1125,Wind
27784,38.6928,-121.9325,Wind
27785,34.5619,-117.3072,Wind
34610,-33.605,-56.7117,Wind
6760,41.09,112.37,Wind
28541,41.7114,-94.802,Wind
28540,40.537,-89.019,Wind
6846,42.1333,110.2325,Wind
28537,40.0667,-85.0133,Wind
6761,41.11,112.35,Wind
7118,41.22,112.7,Wind
301,-38.7833,-61.8984,Wind
6306,39.5835,114.5339,Wind
405,-38.3976,141.6209,Wind
403,-38.412,141.543,Wind
7063,44.13,122.02,Wind
7122,45.4188,119.3857,Wind
6767,49.1917,120.1667,Wind
6759,41.05,112.66,Wind
6758,24.7,108.33,Wind
6757,43.5623,116.3,Wind
289,-46.8065,-67.9808,Wind
34415,33.733,-97.4284,Wind
34417,43.5811,-95.7758,Wind
406,-35.166,149.5186,Wind
28562,35.0908,-118.3936,Wind
28561,35.0925,-118.3952,Wind
7108,32.82,120.89,Wind
285,-43.3522,-65.1734,Wind
6769,25.4422,112.7019,Wind
6849,49.5092,117.5406,Wind
34609,-33.6348,-56.7214,Wind
6847,41.4536,113.1894,Wind
28424,43.0528,-93.63,Wind
34420,41.3931,-94.4447,Wind
28426,44.7608,-68.1469,Wind
6756,43.49,115.96,Wind
34421,43.4195,-111.8294,Wind
6848,41.0586,112.6588,Wind
7123,44.9987,121.6119,Wind
7124,43.47,115.77,Wind
34613,-33.2672,-55.1021,Wind
27799,45.6447,-119.4533,Wind
27798,45.7286,-119.4181,Wind
28516,42.9489,-92.0622,Wind
27794,40.1111,-122.1939,Wind
27793,38.42,-121.8181,Wind
28515,43.0472,-93.4775,Wind
27792,36.2745,-121.1916,Wind
27803,39.6411,-79.0111,Wind
6304,40.8299,115.3624,Wind
27790,37.7142,-121.5217,Wind
27789,33.9172,-116.815,Wind
27788,33.9142,-116.7492,Wind
27787,36.504,-121.454,Wind
6303,42.267,117.917,Wind
28512,20.2573,-155.8504,Wind
27786,34.0847,-117.5294,Wind
27791,36.474,-121.371,Wind
6850,46.2961,122.4294,Wind
27805,40.6206,-87.3781,Wind
28520,45.52,-120.5744,Wind
6845,42.6036,117.6458,Wind
6305,39.7717,114.8339,Wind
6844,42.7405,118.4533,Wind
6776,29.05,112.89,Wind
6843,43.5584,118.7946,Wind
29220,21.6103,-158.0408,Wind
28439,41.1397,-104.9978,Wind
27806,40.5839,-87.3336,Wind
6842,42.5986,117.675,Wind
27826,42.6067,-93.3365,Wind
28444,27.8322,-97.4403,Wind
6783,25.3736,112.4844,Wind
29225,36.9842,-97.1336,Wind
28450,42.0822,-94.365,Wind
27810,44.0942,-68.8658,Wind
34685,9.2351,105.8048,Wind
28441,43.2273,-77.3641,Wind
7062,45.6167,122.8167,Wind
7043,45.53,120.22,Wind
7060,45.3995,120.3475,Wind
6564,37.2103,119.0983,Wind
6890,40.11,107.21,Wind
6567,37.093,119.5178,Wind
6569,25.4431,100.3533,Wind
28161,46.4119,-110.3378,Wind
6572,46.195,124.2856,Wind
28159,32.8751,-101.209,Wind
6573,46.2583,124.4744,Wind
6574,46.1989,124.4175,Wind
34573,-34.4647,-55.3065,Wind
6575,46.2744,124.54,Wind
28993,37.8183,-99.7754,Wind
6579,26.1033,100.1083,Wind
6580,39.3442,113.6438,Wind
6581,42.3605,121.4537,Wind
6582,42.1007,121.0811,Wind
6583,42.78,122.52,Wind
6558,36.9408,106.6656,Wind
6892,41.9633,108.2617,Wind
6893,41.2939,106.4002,Wind
28168,43.4671,-111.8364,Wind
6954,29.2533,116.1589,Wind
6959,29.5261,116.0864,Wind
34568,-33.8763,-56.3505,Wind
28974,42.5539,-95.3283,Wind
28978,43.0347,-94.1406,Wind
28980,43.3853,-94.8157,Wind
28981,43.445,-94.9803,Wind
34569,-33.8855,-56.4428,Wind
6584,42.7631,122.5183,Wind
6970,29.4911,116.0711,Wind
