maxrad,minrad,meanrad,maxdur,mindur,meandur,maxwind,minwind,meanwind,elevation,energy
20.58,2.42,12.36,39100.14,7606.53,26244.39,31.44,12.33,21.79,93.0,wind
19.25,1.13,9.93,40128.8,6610.89,24277.93,30.77,17.9,24.65,117.0,wind
20.48,2.22,11.66,39542.97,8234.23,25788.03,34.12,16.37,24.83,127.0,wind
17.86,1.03,9.54,38444.5,6993.77,23420.97,32.46,19.14,25.86,265.0,wind
26.33,5.99,16.7,47439.08,22200.43,35148.69,31.75,17.81,25.07,3.0,wind
16.7,0.95,8.35,32853.65,4844.71,18635.86,28.22,16.96,22.59,514.0,wind
16.26,1.31,8.95,30694.13,5916.8,20527.45,33.04,20.94,26.5,237.0,wind
21.14,2.16,12.52,40980.72,8079.52,26763.69,31.58,11.74,21.12,306.0,wind
24.88,4.6,14.82,46464.8,14933.87,30421.5,30.67,17.99,23.55,860.0,wind
19.82,2.38,11.82,39178.4,9268.61,26148.13,31.23,14.9,23.09,89.0,wind
20.41,2.56,12.1,40018.89,7889.38,26427.99,33.37,14.3,24.51,187.0,wind
20.84,2.23,12.35,38712.41,6421.55,26220.93,30.84,13.5,21.89,124.0,wind
22.81,3.53,12.87,41725.77,11540.47,27641.66,29.68,17.61,23.12,46.0,wind
21.79,1.85,11.49,43303.86,8793.63,26464.84,37.17,22.05,27.67,59.0,wind
21.37,2.47,12.08,40057.91,9053.11,26845.28,35.36,17.1,25.29,100.0,wind
21.19,2.16,12.55,40461.43,7313.05,26976.99,31.94,12.84,22.18,270.0,wind
19.63,2.05,11.7,37746.64,6799.25,25148.75,32.44,16.12,24.23,139.0,wind
22.27,2.46,12.39,40981.53,9935.98,27381.78,38.15,17.15,26.83,101.0,wind
24.73,4.57,14.8,45868.2,15882.6,30837.54,29.75,13.9,21.31,1131.0,wind
18.73,1.31,10.0,38385.21,8125.81,23725.7,34.71,19.03,26.38,94.0,wind
16.46,0.98,8.29,32620.16,5831.63,18760.84,26.43,15.63,21.21,450.0,wind
18.4,1.3,9.63,33514.3,5007.99,19335.89,35.2,17.21,25.14,431.0,wind
21.21,2.16,12.48,41070.28,7458.97,26768.76,31.73,12.85,21.76,224.0,wind
20.68,1.84,11.0,40019.37,7859.2,25003.25,36.15,20.87,26.7,84.0,wind
20.68,1.84,11.0,40019.37,7859.2,25003.25,36.15,20.87,26.7,79.0,wind
21.27,1.76,11.27,44715.05,8558.93,26165.35,36.59,22.78,27.77,7.0,wind
20.65,3.12,12.29,38683.32,12261.13,26392.96,29.89,17.77,23.36,138.0,wind
20.64,3.01,12.19,39491.11,11871.37,26299.09,31.72,19.16,24.72,150.0,wind
21.3,2.44,12.02,40545.74,9092.08,26819.64,37.0,17.0,26.51,112.0,wind
17.77,0.65,9.05,39038.52,5445.89,21548.64,43.88,22.24,32.16,118.0,wind
20.88,2.25,11.75,38682.82,8412.48,25497.89,34.08,17.0,24.78,91.0,wind
21.09,1.82,11.17,41740.92,7994.1,25026.8,35.27,20.62,25.81,0.0,wind
17.89,1.08,9.32,36217.93,5844.93,22324.83,31.53,18.9,25.67,197.0,wind
18.74,1.1,9.62,37873.31,6467.95,23244.96,29.37,16.88,23.96,438.0,wind
18.74,1.1,9.62,37873.31,6467.95,23244.96,29.37,16.88,23.96,519.0,wind
17.9,0.9,9.6,36963.32,7126.92,23736.46,37.26,20.57,28.75,161.0,wind
17.43,0.8,9.51,34471.7,6688.65,22564.4,44.74,23.33,34.55,140.0,wind
21.96,1.74,11.25,41720.61,8304.29,25036.34,44.54,21.52,30.61,0.0,wind
22.81,2.6,12.59,42347.85,10582.49,27605.65,37.06,15.72,26.25,66.0,wind
21.34,2.59,12.58,42392.66,7835.16,26925.13,32.06,14.54,22.92,125.0,wind
19.82,2.39,11.9,38757.42,8839.9,25995.81,31.96,15.2,23.59,93.0,wind
17.94,1.34,9.7,35090.33,7576.07,22769.21,33.32,20.79,26.88,75.0,wind
20.79,1.56,10.47,42406.15,8635.74,24558.34,32.83,19.37,25.8,101.0,wind
21.34,2.59,12.58,42392.66,7835.16,26925.13,32.06,14.54,22.92,127.0,wind
18.4,1.3,9.63,33514.3,5007.99,19335.89,35.2,17.21,25.14,458.0,wind
20.9,2.77,12.18,39112.5,8846.74,25907.49,29.56,16.17,22.65,294.0,wind
22.65,2.55,12.19,42978.13,11050.97,26351.13,40.33,22.54,29.66,150.0,wind
17.36,1.37,9.71,33597.35,6440.51,22316.48,31.56,19.05,24.9,306.0,wind
20.68,2.34,12.39,38728.9,7098.94,26286.42,31.66,12.53,21.76,133.0,wind
21.64,2.33,11.71,41775.65,9556.33,25575.39,42.61,24.16,31.04,136.0,wind
20.07,1.18,9.77,40946.95,6619.37,23214.21,32.65,17.94,26.45,354.0,wind
21.14,2.16,12.52,40980.72,8079.52,26763.69,31.58,11.74,21.12,277.0,wind
21.61,2.65,12.51,42858.62,7609.27,26740.44,32.62,16.15,23.7,148.0,wind
21.72,2.76,12.19,41934.04,11445.06,26929.13,33.05,17.41,24.0,22.0,wind
22.44,2.53,12.45,42331.97,10210.3,27771.79,39.11,16.2,27.71,147.0,wind
17.9,0.9,9.6,36963.32,7126.92,23736.46,37.26,20.57,28.75,93.0,wind
18.19,0.9,8.85,37557.68,4139.03,20660.26,25.52,14.7,20.25,132.0,wind
17.11,1.4,9.36,32693.84,7080.97,21834.18,32.95,19.1,25.07,42.0,wind
18.08,1.07,9.4,37551.68,5875.03,22069.72,34.54,19.91,27.32,283.0,wind
20.91,2.29,12.44,38665.7,6841.95,26301.53,30.2,12.49,21.56,148.0,wind
22.43,3.54,13.51,46049.41,11947.1,28481.06,26.56,15.98,21.08,150.0,wind
18.39,1.03,9.67,39502.67,7089.77,23866.34,30.56,17.68,24.27,249.0,wind
17.99,1.06,9.68,38300.75,7111.88,23524.86,31.9,18.99,25.35,236.0,wind
20.93,3.46,12.59,39394.16,12714.83,27373.92,29.42,16.75,23.32,65.0,wind
22.17,2.89,12.48,42319.48,11546.63,27412.48,35.53,18.4,25.83,92.0,wind
17.49,0.92,8.63,33808.46,4001.27,18668.18,34.3,20.53,27.87,495.0,wind
17.77,0.96,8.88,35233.87,4543.32,19736.36,34.17,20.27,27.96,455.0,wind
19.58,1.25,10.29,38068.47,7853.07,24289.85,38.3,22.86,29.54,384.0,wind
21.33,2.27,11.41,39963.28,9473.66,25309.73,41.93,22.41,30.03,253.0,wind
20.75,1.76,11.01,41408.54,8236.76,25211.55,35.89,20.79,26.09,0.0,wind
20.99,1.89,11.96,38825.61,5348.77,25061.01,32.07,13.28,23.38,289.0,wind
21.37,2.47,12.08,40057.91,9053.11,26845.28,35.36,17.1,25.29,104.0,wind
21.71,2.3,11.5,39635.47,9736.33,25122.14,44.22,23.57,31.6,118.0,wind
20.86,2.32,12.45,39558.34,6677.8,26560.14,31.73,12.72,21.67,106.0,wind
18.01,1.08,9.36,36555.91,5963.44,22404.28,31.31,19.43,25.59,171.0,wind
19.02,1.14,9.31,37161.65,5608.34,21513.71,29.73,16.89,23.69,240.0,wind
